HourUTC;HourDK;PriceArea;TotalLoad;OnshoreWindPower;OffshoreWindPower;ExchangeContinent;ExchangeGreatBelt;ExchangeNordicCountries
16-11-18 10.00;16-11-18 11.00;DK1;2820.96;401.88;348.30;-858.00;-514.00;1943.00
16-11-18 11.00;16-11-18 12.00;DK1;2713.15;383.97;296.05;-1071.00;-515.00;1942.00
16-11-18 12.00;16-11-18 13.00;DK1;2628.78;351.03;368.98;-815.00;-555.00;1942.00
16-11-18 13.00;16-11-18 14.00;DK1;2525.53;412.49;290.12;-966.00;-584.00;1935.00
16-11-18 14.00;16-11-18 15.00;DK1;2483.38;447.04;337.52;-815.00;-590.00;1751.00
16-11-18 15.00;16-11-18 16.00;DK1;2656.53;507.18;411.26;-1047.00;-585.00;1788.00
16-11-18 16.00;16-11-18 17.00;DK1;2883.75;647.40;459.69;-1027.00;-530.00;1943.00
16-11-18 17.00;16-11-18 18.00;DK1;2747.77;684.06;465.30;-1163.00;-588.00;1926.00
16-11-18 18.00;16-11-18 19.00;DK1;2527.06;685.88;440.88;-967.00;-560.00;1667.00
16-11-18 19.00;16-11-18 20.00;DK1;2412.54;764.30;500.25;-459.00;-276.00;1269.00
16-11-18 20.00;16-11-18 21.00;DK1;2281.26;801.42;527.97;-279.00;-247.00;1039.00
16-11-18 21.00;16-11-18 22.00;DK1;2140.80;803.50;519.77;-405.00;-360.00;1092.00
16-11-18 22.00;16-11-18 23.00;DK1;1928.36;768.95;473.82;-16.00;-558.00;556.00
16-11-18 23.00;17-11-18 00.00;DK1;1808.95;730.63;370.64;66.00;-437.00;210.00
17-11-18 00.00;17-11-18 01.00;DK1;1735.24;656.56;312.49;830.00;-354.00;-431.00
17-11-18 01.00;17-11-18 02.00;DK1;1682.83;597.46;307.60;83.00;137.00;-197.00
17-11-18 02.00;17-11-18 03.00;DK1;1675.53;544.79;251.82;567.00;-164.00;-162.00
17-11-18 03.00;17-11-18 04.00;DK1;1689.25;512.28;218.24;637.00;-179.00;-154.00
17-11-18 04.00;17-11-18 05.00;DK1;1776.54;488.51;171.07;1421.00;-549.00;-407.00
17-11-18 05.00;17-11-18 06.00;DK1;1922.13;533.47;167.87;640.00;-449.00;152.00
17-11-18 06.00;17-11-18 07.00;DK1;2186.16;593.14;203.12;72.00;-42.00;703.00
17-11-18 07.00;17-11-18 08.00;DK1;2326.64;620.17;273.46;-323.00;-209.00;1235.00
17-11-18 08.00;17-11-18 09.00;DK1;2390.51;550.34;272.71;90.00;-304.00;886.00
17-11-18 09.00;17-11-18 10.00;DK1;2401.78;466.80;270.15;-58.00;-252.00;643.00
17-11-18 10.00;17-11-18 11.00;DK1;2367.48;368.41;254.05;-129.00;-204.00;681.00
17-11-18 11.00;17-11-18 12.00;DK1;2317.57;249.81;182.46;-262.00;-133.00;706.00
17-11-18 12.00;17-11-18 13.00;DK1;2269.23;180.39;167.24;-44.00;-300.00;817.00
17-11-18 13.00;17-11-18 14.00;DK1;2249.20;174.24;146.82;-434.00;-471.00;1349.00
17-11-18 14.00;17-11-18 15.00;DK1;2244.08;184.37;116.97;-1093.00;-470.00;1905.00
17-11-18 15.00;17-11-18 16.00;DK1;2404.07;223.29;94.30;-937.00;-479.00;1942.00
17-11-18 16.00;17-11-18 17.00;DK1;2682.67;238.59;84.13;-711.00;-500.00;1941.00
17-11-18 17.00;17-11-18 18.00;DK1;2602.85;163.43;68.15;-627.00;-569.00;1925.00
17-11-18 18.00;17-11-18 19.00;DK1;2409.88;158.59;46.03;-804.00;-293.00;1934.00
17-11-18 19.00;17-11-18 20.00;DK1;2265.57;181.00;42.75;-851.00;-197.00;1942.00
17-11-18 20.00;17-11-18 21.00;DK1;2151.55;190.90;49.48;-897.00;-140.00;1933.00
17-11-18 21.00;17-11-18 22.00;DK1;2031.03;191.69;30.79;-677.00;-475.00;1897.00
17-11-18 22.00;17-11-18 23.00;DK1;1895.29;262.41;44.58;-482.00;-245.00;1383.00
17-11-18 23.00;18-11-18 00.00;DK1;1829.80;260.27;36.68;-421.00;-87.00;1169.00
18-11-18 00.00;18-11-18 01.00;DK1;1722.41;232.30;30.10;344.00;-384.00;684.00
18-11-18 01.00;18-11-18 02.00;DK1;1689.68;180.14;28.93;585.00;-268.00;331.00
18-11-18 02.00;18-11-18 03.00;DK1;1676.62;101.87;22.58;52.00;-137.00;605.00
18-11-18 03.00;18-11-18 04.00;DK1;1681.91;108.84;23.55;-263.00;33.00;749.00
18-11-18 04.00;18-11-18 05.00;DK1;1716.79;169.04;49.66;88.00;-304.00;747.00
18-11-18 05.00;18-11-18 06.00;DK1;1831.57;249.08;91.43;-1004.00;52.00;1370.00
18-11-18 06.00;18-11-18 07.00;DK1;1984.53;256.77;142.13;-1240.00;2.00;1674.00
18-11-18 07.00;18-11-18 08.00;DK1;2134.32;344.83;306.95;-1235.00;-72.00;1522.00
18-11-18 08.00;18-11-18 09.00;DK1;2257.80;453.93;325.28;-1215.00;-339.00;1731.00
18-11-18 09.00;18-11-18 10.00;DK1;2293.68;584.19;330.10;-1139.00;-307.00;1478.00
18-11-18 10.00;18-11-18 11.00;DK1;2277.03;660.77;362.43;-1223.00;-215.00;1322.00
18-11-18 11.00;18-11-18 12.00;DK1;2197.44;711.83;340.76;-1236.00;-120.00;1071.00
18-11-18 12.00;18-11-18 13.00;DK1;2163.66;743.57;290.61;-1202.00;-17.00;1034.00
18-11-18 13.00;18-11-18 14.00;DK1;2185.08;783.84;407.84;-1251.00;-121.00;978.00
18-11-18 14.00;18-11-18 15.00;DK1;2242.72;948.53;440.21;-1190.00;-281.00;1038.00
18-11-18 15.00;18-11-18 16.00;DK1;2453.59;1143.68;562.92;-753.00;-565.00;712.00
18-11-18 16.00;18-11-18 17.00;DK1;2724.59;1281.03;534.23;-736.00;-536.00;729.00
18-11-18 17.00;18-11-18 18.00;DK1;2612.83;1222.40;504.87;-71.00;-567.00;539.00
